,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grand river south east,38.8755,-109.5012,79.0,8,1,5.75,US,1617405174
1,castro,-24.7911,-50.0119,58.33,82,4,3.27,BR,1617405174
2,airai,-8.9266,125.4092,61.59,95,100,3.76,TL,1617405174
3,constitucion,-35.3333,-72.4167,57.43,83,25,13.58,CL,1617405174
4,fare,-16.7,-151.0167,81.81,69,0,1.54,PF,1617405175
5,ahipara,-35.1667,173.1667,69.46,63,30,8.28,NZ,1617405175
6,albany,42.6001,-73.9662,37.0,27,100,5.01,US,1617405015
7,port elizabeth,-7.0349,29.7638,71.92,78,1,5.28,CD,1617405176
8,savonlinna,61.8699,28.88,30.2,100,90,3.44,FI,1617405176
9,kysyl-syr,63.8986,122.7617,-4.49,96,100,7.58,RU,1617405176
10,lorengau,-2.0226,147.2712,82.62,78,99,4.5,PG,1617405176
11,panaba,21.2833,-88.2667,73.6,53,100,14.74,MX,1617405177
12,cape town,-36.413,-71.9028,69.8,43,0,6.91,CL,1617405177
13,puerto ayora,36.5939,-6.233,59.0,88,0,3.44,ES,1617405177
14,hobart,-42.8794,147.3294,77.0,29,0,12.66,AU,1617404902
15,tefe,-3.3542,-64.7114,82.4,83,20,3.44,BR,1617405178
16,nemuro,43.3236,145.575,38.97,82,100,19.44,JP,1617405178
17,rikitea,-23.1203,-134.9692,77.45,76,93,10.76,PF,1617405179
18,torbay,47.6666,-52.7314,39.2,93,75,8.05,CA,1617405179
19,severo-kurilsk,50.6789,156.125,30.99,79,29,14.12,RU,1617405179
20,bulihan,14.2697,120.9955,82.0,69,20,5.75,PH,1617405180
21,sept-iles,50.2001,-66.3821,28.99,74,75,11.5,CA,1617404991
22,mataura,-46.1927,168.8643,51.01,80,88,4.0,NZ,1617405180
23,phan rang,19.5539,99.7405,75.2,78,40,2.3,TH,1617405180
24,avarua,-21.2078,-159.775,84.2,74,34,13.8,CK,1617405181
25,bredasdorp,-34.5322,20.0403,48.2,93,46,4.61,ZA,1617405181
26,ushuaia,-54.8,-68.3,48.2,76,75,5.75,AR,1617405181
27,colwyn bay,39.9123,-75.2538,43.0,22,20,20.71,US,1617405182
28,pisco,-13.7,-76.2167,71.6,73,0,8.05,PE,1617405182
29,buala,-8.145,159.5921,85.48,67,67,5.82,SB,1617405182
30,ponta do sol,38.7333,-28.2667,56.71,81,96,24.02,PT,1617405183
31,lavrentiya,65.5833,-171.0,7.81,79,100,13.04,RU,1617405183
32,mogadishu,2.0371,45.3438,81.43,78,27,10.38,SO,1617404952
33,bobrovytsya,50.75,31.3833,39.99,75,0,6.71,UA,1617405183
34,narsaq,60.9167,-46.05,37.4,81,75,3.44,GL,1617405184
35,tiksi,71.6872,128.8694,-15.7,100,100,7.29,RU,1617405184
36,butaritari,3.0707,172.7902,81.99,80,32,16.08,KI,1617405184
37,fortuna,40.5982,-124.1573,57.99,76,1,14.97,US,1617405185
38,vardo,70.3705,31.1107,30.78,78,95,7.25,NO,1617405185
39,atikokan,48.7555,-91.6216,44.53,55,100,11.72,CA,1617405185
